Timestamp;2T1 [°C];2Q1 [pH];2S1 [1/min];2X1 [Ncm];2T4 [°C];2F1.1 [L/h];2F1.2 [L];2X11F1 [L];2X11Q1 [V% O2];2X11Q2 [V% CO2];2X11Q3 [V% CH4];2X11Q4 [ppm H2S];2V1;2V2;2R1;2H1;2L1;2P2;2P3;2P4;2P5;2V30+;2V31;Start Probenahme;Analysis time
09.03.2024 00:00:37;42.79;7.21;120.00;26.50;44.30;1.65;325.37;0.41;0.00;49.00;46.90;107.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;08.03.2024 23:47:56;08.03.2024 23:42:02
09.03.2024 00:01:37;42.79;7.21;0.00;0.00;44.40;2.10;325.39;0.42;0.00;49.00;46.90;107.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;08.03.2024 23:47:56;08.03.2024 23:42:02
09.03.2024 00:02:37;42.79;7.22;0.00;0.00;45.00;0.30;325.39;0.42;0.00;49.00;46.90;107.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;08.03.2024 23:47:56;08.03.2024 23:42:02
09.03.2024 00:03:37;42.80;7.22;0.00;0.00;44.30;0.00;325.39;0.42;0.00;49.00;46.90;107.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;08.03.2024 23:47:56;08.03.2024 23:42:02
09.03.2024 00:04:37;42.80;7.21;0.00;0.00;45.10;0.00;325.39;0.42;0.00;49.00;46.90;107.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;08.03.2024 23:47:56;08.03.2024 23:42:02
09.03.2024 00:05:37;42.79;7.21;0.00;0.00;44.40;0.00;325.39;0.42;0.00;49.00;46.90;107.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;08.03.2024 23:47:56;08.03.2024 23:42:02
09.03.2024 00:06:37;42.80;7.22;0.00;0.00;44.20;0.00;325.39;0.42;0.00;49.00;46.90;107.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;08.03.2024 23:47:56;08.03.2024 23:42:02
09.03.2024 00:07:37;42.80;7.22;0.00;0.00;44.70;0.00;325.39;0.42;0.00;49.00;46.90;107.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;08.03.2024 23:47:56;08.03.2024 23:42:02
09.03.2024 00:08:37;42.81;7.22;0.00;0.00;44.10;0.15;325.40;0.43;0.00;49.00;46.90;107.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;08.03.2024 23:47:56;08.03.2024 23:42:02
09.03.2024 00:09:37;42.83;7.21;0.00;0.00;44.90;0.60;325.41;0.44;0.00;49.00;46.90;107.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;08.03.2024 23:47:56;08.03.2024 23:42:02
09.03.2024 00:10:38;42.87;7.22;0.00;0.00;44.30;0.75;325.42;0.45;0.00;49.00;46.90;107.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;08.03.2024 23:47:56;08.03.2024 23:42:02
09.03.2024 00:11:38;42.83;7.22;0.00;0.00;45.00;0.60;325.44;0.47;0.00;49.00;46.90;107.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;08.03.2024 23:47:56;08.03.2024 23:42:02
09.03.2024 00:12:38;42.81;7.21;0.00;0.00;44.50;1.05;325.45;0.48;0.00;49.00;46.90;107.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;08.03.2024 23:47:56;08.03.2024 23:42:02
09.03.2024 00:13:38;42.79;7.22;0.00;0.00;43.90;0.75;325.47;0.50;0.00;49.00;46.90;107.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;08.03.2024 23:47:56;08.03.2024 23:42:02
09.03.2024 00:14:38;42.77;7.22;0.00;0.00;44.80;1.20;325.50;0.52;0.00;49.00;46.90;107.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;08.03.2024 23:47:56;08.03.2024 23:42:02
09.03.2024 00:15:38;42.77;7.21;0.00;0.00;44.10;1.35;325.52;0.55;0.00;49.00;46.90;107.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;08.03.2024 23:47:56;08.03.2024 23:42:02
09.03.2024 00:16:38;42.82;7.20;120.00;25.90;44.90;1.35;325.58;0.61;0.00;49.00;46.90;107.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;08.03.2024 23:47:56;08.03.2024 23:42:02
09.03.2024 00:17:38;42.78;7.22;120.00;24.80;44.10;6.30;325.67;0.70;0.00;49.00;46.90;107.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;08.03.2024 23:47:56;08.03.2024 23:42:02
09.03.2024 00:18:38;42.77;7.21;120.00;26.10;44.80;3.15;325.70;0.73;0.00;49.00;46.90;107.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;08.03.2024 23:47:56;08.03.2024 23:42:02
09.03.2024 00:19:38;42.78;7.22;120.00;26.80;43.90;1.95;325.75;0.77;0.00;49.00;46.90;107.00;1.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;08.03.2024 23:47:56;08.03.2024 23:42:02
09.03.2024 00:20:39;42.76;7.21;120.00;26.30;44.50;2.70;325.77;0.80;0.00;49.00;46.90;107.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;08.03.2024 23:47:56;08.03.2024 23:42:02
09.03.2024 00:21:39;42.78;7.21;0.00;0.00;45.00;1.20;325.79;0.81;0.00;49.00;46.90;107.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;08.03.2024 23:47:56;08.03.2024 23:42:02
09.03.2024 00:22:39;42.78;7.22;0.00;0.00;44.30;0.15;325.79;0.81;0.00;49.00;46.90;107.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;08.03.2024 23:47:56;08.03.2024 23:42:02
09.03.2024 00:23:39;42.78;7.21;0.00;0.00;45.10;0.00;325.79;0.81;0.00;49.00;46.90;107.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;08.03.2024 23:47:56;08.03.2024 23:42:02
09.03.2024 00:24:39;42.76;7.21;0.00;0.00;44.30;0.00;325.79;0.81;0.00;49.00;46.90;107.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;08.03.2024 23:47:56;08.03.2024 23:42:02
09.03.2024 00:25:39;42.78;7.22;0.00;0.00;45.10;0.00;325.79;0.81;0.00;49.00;46.90;107.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;08.03.2024 23:47:56;08.03.2024 23:42:02
09.03.2024 00:26:39;42.78;7.22;0.00;0.00;44.60;0.00;325.79;0.81;0.00;49.00;46.90;107.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;08.03.2024 23:47:56;08.03.2024 23:42:02
09.03.2024 00:27:39;42.78;7.22;0.00;0.00;44.00;0.00;325.79;0.81;0.00;49.00;46.90;107.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;08.03.2024 23:47:56;08.03.2024 23:42:02
09.03.2024 00:28:39;42.78;7.22;0.00;0.00;44.80;0.00;325.79;0.82;0.00;49.00;46.90;107.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;08.03.2024 23:47:56;08.03.2024 23:42:02
09.03.2024 00:29:39;42.79;7.22;0.00;0.00;44.20;0.60;325.80;0.83;0.00;49.00;46.90;107.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;08.03.2024 23:47:56;08.03.2024 23:42:02
