Timestamp,on_sec,off_sec,tot_on_periods,rounded_dosage
2025-05-13 18:00:00,0,10800,0,0
2025-05-13 21:00:00,0,10800,0,0
2025-05-14 00:00:00,0,10800,0,0
2025-05-14 03:00:00,0,10800,0,0
2025-05-14 06:00:00,0,10800,0,0
2025-05-14 09:00:00,0,10800,0,0
2025-05-14 12:00:00,0,10800,0,0
2025-05-14 15:00:00,0,10800,0,0
2025-05-14 18:00:00,0,10800,0,0
2025-05-14 21:00:00,0,10800,0,0
2025-05-15 00:00:00,0,10800,0,0
2025-05-15 03:00:00,19,10773,1,50.6667
2025-05-15 06:00:00,19,10773,1,50.6667
2025-05-15 09:00:00,19,10773,1,50.6667
2025-05-15 12:00:00,0,10800,0,0
2025-05-15 15:00:00,0,10800,0,0
2025-05-15 18:00:00,0,10800,0,0
2025-05-15 21:00:00,0,10800,0,0
2025-05-16 00:00:00,0,10800,0,0
2025-05-16 03:00:00,19,10773,1,50.6667
2025-05-16 06:00:00,19,10773,1,50.6667
2025-05-16 09:00:00,19,10773,1,50.6667
2025-05-16 12:00:00,0,10800,0,0
2025-05-16 15:00:00,0,10800,0,0
2025-05-16 18:00:00,0,10800,0,0
2025-05-16 21:00:00,0,10800,0,0
2025-05-17 00:00:00,0,10800,0,0
2025-05-17 03:00:00,19,10773,1,50.6667
2025-05-17 06:00:00,19,10773,1,50.6667
2025-05-17 09:00:00,19,10773,1,50.6667
2025-05-17 12:00:00,0,10800,0,0
2025-05-17 15:00:00,0,10800,0,0
2025-05-17 18:00:00,0,10800,0,0
2025-05-17 21:00:00,0,10800,0,0
2025-05-18 00:00:00,0,10800,0,0
2025-05-18 03:00:00,0,10800,0,0
2025-05-18 06:00:00,0,10800,0,0
2025-05-18 09:00:00,19,3572,3,152
2025-05-18 12:00:00,0,10800,0,0
2025-05-18 15:00:00,0,10800,0,0
2025-05-18 18:00:00,19,10773,1,50.6667
2025-05-18 21:00:00,0,10800,0,0
2025-05-19 00:00:00,0,10800,0,0
2025-05-19 03:00:00,19,5377,2,101.333
2025-05-19 06:00:00,19,5377,2,101.333
2025-05-19 09:00:00,19,3572,3,152
2025-05-19 12:00:00,0,10800,0,0
2025-05-19 15:00:00,0,10800,0,0
2025-05-19 18:00:00,19,10773,1,50.6667
2025-05-19 21:00:00,0,10800,0,0
2025-05-20 00:00:00,0,10800,0,0
2025-05-20 03:00:00,19,5377,2,101.333
2025-05-20 06:00:00,19,3572,3,152
2025-05-20 09:00:00,19,3572,3,152
2025-05-20 12:00:00,0,10800,0,0
2025-05-20 15:00:00,0,10800,0,0
2025-05-20 18:00:00,20,10780,1,50
2025-05-20 21:00:00,0,10800,0,0
2025-05-21 00:00:00,0,10800,0,0
2025-05-21 03:00:00,0,10800,0,0
2025-05-21 06:00:00,20,2680,4,200
2025-05-21 09:00:00,20,3580,3,150
2025-05-21 12:00:00,0,10800,0,0
2025-05-21 15:00:00,0,10800,0,0
2025-05-21 18:00:00,20,5380,2,100
2025-05-21 21:00:00,20,5380,2,100
2025-05-22 00:00:00,20,5380,2,100
2025-05-22 03:00:00,20,3580,3,150
2025-05-22 06:00:00,20,5380,2,100
2025-05-22 09:00:00,20,3580,3,150
2025-05-22 12:00:00,0,10800,0,0
2025-05-22 15:00:00,0,10800,0,0
2025-05-22 18:00:00,20,5380,2,100
2025-05-22 21:00:00,0,10800,0,0
2025-05-23 00:00:00,0,10800,0,0
2025-05-23 03:00:00,20,2680,4,200
2025-05-23 06:00:00,20,3580,3,150
2025-05-23 09:00:00,20,5380,2,100
2025-05-23 12:00:00,0,10800,0,0
2025-05-23 15:00:00,0,10800,0,0
2025-05-23 18:00:00,20,5380,2,100
2025-05-23 21:00:00,20,3580,3,150
2025-05-24 00:00:00,20,5380,2,100
2025-05-24 03:00:00,20,3580,3,150
2025-05-24 06:00:00,20,5380,2,100
2025-05-24 09:00:00,20,3580,3,150
2025-05-24 12:00:00,0,10800,0,0
2025-05-24 15:00:00,0,10800,0,0
2025-05-24 18:00:00,20,5380,2,100
2025-05-24 21:00:00,20,3580,3,150
2025-05-25 12:00:00,0,10800,0,0
2025-05-25 15:00:00,0,10800,0,0
2025-05-25 18:00:00,0,10800,0,0
2025-05-25 21:00:00,0,10800,0,0
2025-05-26 00:00:00,20,2680,4,200
2025-05-26 03:00:00,20,3580,3,150
2025-05-26 06:00:00,20,3580,3,150
2025-05-26 09:00:00,20,5380,2,100
2025-05-26 12:00:00,0,10800,0,0
2025-05-26 15:00:00,0,10800,0,0
2025-05-26 18:00:00,20,10780,1,50
2025-05-26 21:00:00,20,3580,3,150
2025-05-27 00:00:00,20,3580,3,150
2025-05-27 03:00:00,20,5380,2,100
2025-05-27 06:00:00,20,3580,3,150
2025-05-27 09:00:00,20,3580,3,150
2025-05-27 12:00:00,0,10800,0,0
2025-05-27 15:00:00,0,10800,0,0
2025-05-27 18:00:00,20,5380,2,100
2025-05-27 21:00:00,20,3580,3,150
2025-05-28 00:00:00,20,3580,3,150
2025-05-28 03:00:00,20,5380,2,100
2025-05-28 06:00:00,20,3580,3,150
2025-05-28 09:00:00,20,5380,2,100
2025-05-28 12:00:00,0,10800,0,0
2025-05-28 15:00:00,0,10800,0,0
2025-05-28 18:00:00,20,5380,2,100
2025-05-28 21:00:00,20,5380,2,100
2025-05-29 00:00:00,20,3580,3,150
2025-05-29 03:00:00,20,5380,2,100
2025-05-29 06:00:00,20,3580,3,150
2025-05-29 09:00:00,20,5380,2,100
2025-05-29 12:00:00,0,10800,0,0
2025-05-29 15:00:00,0,10800,0,0
2025-05-29 18:00:00,20,5380,2,100
2025-05-29 21:00:00,20,5380,2,100
2025-05-30 00:00:00,20,3580,3,150
2025-05-30 03:00:00,20,5380,2,100
2025-05-30 06:00:00,20,3580,3,150
2025-05-30 09:00:00,20,5380,2,100
2025-05-30 12:00:00,0,10800,0,0
2025-05-30 15:00:00,0,10800,0,0
2025-05-30 18:00:00,20,5380,2,100
2025-05-30 21:00:00,20,3580,3,150
2025-05-31 00:00:00,20,3580,3,150
2025-05-31 03:00:00,20,3580,3,150
2025-05-31 06:00:00,20,5380,2,100
2025-05-31 09:00:00,20,3580,3,150
2025-05-31 12:00:00,0,10800,0,0
2025-05-31 15:00:00,0,10800,0,0
2025-05-31 18:00:00,20,5380,2,100
2025-05-31 21:00:00,20,3580,3,150
2025-06-01 00:00:00,20,5380,2,100
2025-06-01 03:00:00,20,3580,3,150
2025-06-01 06:00:00,20,5380,2,100
2025-06-01 09:00:00,20,3580,3,150
2025-06-01 12:00:00,0,10800,0,0
2025-06-01 15:00:00,0,10800,0,0
2025-06-01 18:00:00,20,5380,2,100
2025-06-01 21:00:00,20,3580,3,150
2025-06-02 00:00:00,20,5380,2,100
2025-06-02 03:00:00,20,3580,3,150
2025-06-02 06:00:00,20,5380,2,100
2025-06-02 09:00:00,20,3580,3,150
2025-06-02 12:00:00,0,10800,0,0
