Timestamp,Timestamp_setpoints,Timestamp_measures,ch4_setpoint,ch4_measure,co2/ch4_setpoint,co2/ch4_measure,threshold_low,threshold_high
2025-05-09 21:00:00,2025-05-09 21:00:00,2025-05-09 21:00:00,0.36562,0.40747,0.88652,1.0247,0.93652,0.98652
2025-05-10 00:00:00,2025-05-10 00:00:00,2025-05-10 00:00:00,0.36562,0.39986,0.88653,0.95817,0.93653,0.98653
2025-05-10 03:00:00,2025-05-10 03:00:00,2025-05-10 03:00:00,0.36562,0.39986,0.88654,0.95817,0.93654,0.98654
2025-05-10 06:00:00,2025-05-10 06:00:00,2025-05-10 06:00:00,0.36561,0.42551,0.88655,0.8566,0.93655,0.98655
2025-05-10 09:00:00,2025-05-10 09:00:00,2025-05-10 09:00:00,0.36561,0.41474,0.88655,0.8566,0.93655,0.98655
2025-05-10 12:00:00,2025-05-10 12:00:00,2025-05-10 12:00:00,0.36561,0.3975,0.88656,0.8566,0.93656,0.98656
2025-05-10 15:00:00,2025-05-10 15:00:00,2025-05-10 15:00:00,0.36561,0.7032,0.88657,0.79892,0.93657,0.98657
2025-05-10 18:00:00,2025-05-10 18:00:00,2025-05-10 18:00:00,0.36561,0.52149,0.88657,0.8639,0.93657,0.98657
2025-05-10 21:00:00,2025-05-10 21:00:00,2025-05-10 21:00:00,0.3656,0.46998,0.88658,0.8639,0.93658,0.98658
2025-05-11 00:00:00,2025-05-11 00:00:00,2025-05-11 00:00:00,0.3656,0.43423,0.88658,0.97589,0.93658,0.98658
2025-05-11 03:00:00,2025-05-11 03:00:00,2025-05-11 03:00:00,0.3656,0.43002,0.88659,0.89061,0.93659,0.98659
2025-05-11 06:00:00,2025-05-11 06:00:00,2025-05-11 06:00:00,0.3656,0.41944,0.88659,0.89061,0.93659,0.98659
2025-05-11 09:00:00,2025-05-11 09:00:00,2025-05-11 09:00:00,0.3656,0.43447,0.8866,0.80219,0.9366,0.9866
2025-05-11 12:00:00,2025-05-11 12:00:00,2025-05-11 12:00:00,0.36559,0.57874,0.88661,0.80219,0.93661,0.98661
2025-05-11 15:00:00,2025-05-11 15:00:00,2025-05-11 15:00:00,0.36559,0.69158,0.88661,0.76841,0.93661,0.98661
2025-05-11 18:00:00,2025-05-11 18:00:00,2025-05-11 18:00:00,0.36559,0.50401,0.88661,0.91069,0.93661,0.98661
2025-05-11 21:00:00,2025-05-11 21:00:00,2025-05-11 21:00:00,0.36559,0.47365,0.88662,0.91069,0.93662,0.98662
2025-05-12 00:00:00,2025-05-12 00:00:00,2025-05-12 00:00:00,0.36559,0.4427,0.88662,0.90872,0.93662,0.98662
2025-05-12 03:00:00,2025-05-12 03:00:00,2025-05-12 03:00:00,0.36559,0.42541,0.88663,0.90872,0.93663,0.98663
2025-05-12 06:00:00,2025-05-12 06:00:00,2025-05-12 06:00:00,0.36559,0.44212,0.88663,0.81399,0.93663,0.98663
2025-05-12 09:00:00,2025-05-12 09:00:00,2025-05-12 09:00:00,0.36558,0.41235,0.88664,0.81399,0.93664,0.98664
2025-05-12 12:00:00,2025-05-12 12:00:00,2025-05-12 12:00:00,0.36558,0.60634,0.88664,0.74158,0.93664,0.98664
2025-05-12 15:00:00,2025-05-12 15:00:00,2025-05-12 15:00:00,0.36558,0.76872,0.88664,0.77437,0.93664,0.98664
2025-05-12 18:00:00,2025-05-12 18:00:00,2025-05-12 18:00:00,0.36558,0.58049,0.88665,0.77437,0.93665,0.98665
2025-05-12 21:00:00,2025-05-12 21:00:00,2025-05-12 21:00:00,0.36558,0.50147,0.88665,0.91439,0.93665,0.98665
2025-05-13 00:00:00,2025-05-13 00:00:00,2025-05-13 00:00:00,0.36558,0.45968,0.88665,0.91439,0.93665,0.98665
2025-05-13 03:00:00,2025-05-13 03:00:00,2025-05-13 03:00:00,0.36558,0.43644,0.88666,0.87427,0.93666,0.98666
2025-05-13 06:00:00,2025-05-13 06:00:00,2025-05-13 06:00:00,0.36558,0.4343,0.88666,0.79598,0.93666,0.98666
2025-05-13 09:00:00,2025-05-13 09:00:00,2025-05-13 09:00:00,0.36558,0.41315,0.88666,0.79598,0.93666,0.98666
2025-05-13 12:00:00,2025-05-13 12:00:00,2025-05-13 12:00:00,0.36557,0.45533,0.88666,0.74158,0.93666,0.98666
2025-05-13 15:00:00,2025-05-13 15:00:00,2025-05-13 15:00:00,0.36557,0.71659,0.88667,0.74158,0.93667,0.98667
2025-05-13 18:00:00,2025-05-13 18:00:00,2025-05-13 18:00:00,0.36557,0.56494,0.88667,0.80551,0.93667,0.98667
2025-05-13 21:00:00,2025-05-13 21:00:00,2025-05-13 21:00:00,0.36557,0.48281,0.88667,0.90136,0.93667,0.98667
2025-05-14 00:00:00,2025-05-14 00:00:00,2025-05-14 00:00:00,0.36557,0.45073,0.88667,0.90136,0.93667,0.98667
2025-05-14 03:00:00,2025-05-14 03:00:00,2025-05-14 03:00:00,0.36557,0.44638,0.88667,0.83925,0.93667,0.98667
2025-05-14 06:00:00,2025-05-14 06:00:00,2025-05-14 06:00:00,0.36557,0.43115,0.88668,0.83925,0.93668,0.98668
2025-05-14 09:00:00,2025-05-14 09:00:00,2025-05-14 09:00:00,0.36557,0.43091,0.88668,0.77299,0.93668,0.98668
2025-05-14 12:00:00,2025-05-14 12:00:00,2025-05-14 12:00:00,0.36557,0.62099,0.88668,0.77299,0.93668,0.98668
2025-05-14 15:00:00,2025-05-14 15:00:00,2025-05-14 15:00:00,0.36557,0.70938,0.88668,0.77478,0.93668,0.98668
2025-05-14 18:00:00,2025-05-14 18:00:00,2025-05-14 18:00:00,0.36556,0.53072,0.88668,0.92382,0.93668,0.98668
2025-05-14 21:00:00,2025-05-14 21:00:00,2025-05-14 21:00:00,0.36556,0.48861,0.88668,0.92382,0.93668,0.98668
2025-05-15 00:00:00,2025-05-15 00:00:00,2025-05-15 00:00:00,0.36556,0.44321,0.88668,0.92009,0.93668,0.98668
2025-05-15 03:00:00,2025-05-15 03:00:00,2025-05-15 03:00:00,0.36556,0.41769,0.88669,0.92009,0.93669,0.98669
2025-05-15 06:00:00,2025-05-15 06:00:00,2025-05-15 06:00:00,0.36556,0.41336,0.88669,0.82409,0.93669,0.98669
2025-05-15 09:00:00,2025-05-15 09:00:00,2025-05-15 09:00:00,0.36556,0.40623,0.88669,0.82409,0.93669,0.98669
2025-05-15 12:00:00,2025-05-15 12:00:00,2025-05-15 12:00:00,0.36556,0.54293,0.88669,0.75713,0.93669,0.98669
2025-05-15 15:00:00,2025-05-15 15:00:00,2025-05-15 15:00:00,0.36556,0.68209,0.88669,0.79743,0.93669,0.98669
2025-05-15 18:00:00,2025-05-15 18:00:00,2025-05-15 18:00:00,0.36556,0.56247,0.88669,0.79743,0.93669,0.98669
2025-05-15 21:00:00,2025-05-15 21:00:00,2025-05-15 21:00:00,0.36556,0.50217,0.8,0.92563,0.85,0.9
2025-05-16 00:00:00,2025-05-16 00:00:00,2025-05-16 00:00:00,0.36556,0.4518,0.8,0.92563,0.85,0.9
2025-05-16 03:00:00,2025-05-16 03:00:00,2025-05-16 03:00:00,0.36556,0.42598,0.8,0.88505,0.85,0.9
2025-05-16 06:00:00,2025-05-16 06:00:00,2025-05-16 06:00:00,0.36555,0.43921,0.8,0.81917,0.85,0.9
2025-05-16 09:00:00,2025-05-16 09:00:00,2025-05-16 09:00:00,0.36555,0.40953,0.8,0.81917,0.85,0.9
2025-05-16 12:00:00,2025-05-16 12:00:00,2025-05-16 12:00:00,0.36555,0.5813,0.8,0.7891,0.85,0.9
2025-05-16 15:00:00,2025-05-16 15:00:00,2025-05-16 15:00:00,0.36555,0.73557,0.8,0.7891,0.85,0.9
2025-05-16 18:00:00,2025-05-16 18:00:00,2025-05-16 18:00:00,0.36555,0.54947,0.8,0.86362,0.85,0.9
2025-05-16 21:00:00,2025-05-16 21:00:00,2025-05-16 21:00:00,0.36555,0.47575,0.8,0.94852,0.85,0.9
2025-05-17 00:00:00,2025-05-17 00:00:00,2025-05-17 00:00:00,0.36555,0.43469,0.8,0.94852,0.85,0.9
2025-05-17 03:00:00,2025-05-17 03:00:00,2025-05-17 03:00:00,0.36555,0.41493,0.8,0.87262,0.85,0.9
2025-05-17 06:00:00,2025-05-17 06:00:00,2025-05-17 06:00:00,0.36555,0.40478,0.8,0.87262,0.85,0.9
2025-05-17 09:00:00,2025-05-17 09:00:00,2025-05-17 09:00:00,0.36555,0.42415,0.8,0.79417,0.85,0.9
2025-05-17 12:00:00,2025-05-17 12:00:00,2025-05-17 12:00:00,0.36555,0.6248,0.8,0.79417,0.85,0.9
2025-05-17 15:00:00,2025-05-17 15:00:00,2025-05-17 15:00:00,0.36555,0.73187,0.8,0.78584,0.85,0.9
2025-05-17 18:00:00,2025-05-17 18:00:00,2025-05-17 18:00:00,0.36554,0.41726,0.8,0.92927,0.85,0.9
2025-05-17 21:00:00,2025-05-17 21:00:00,2025-05-17 21:00:00,0.36554,0.38564,0.8,0.92927,0.85,0.9
2025-05-18 00:00:00,2025-05-18 00:00:00,2025-05-18 00:00:00,0.36554,0.36722,0.8,0.91439,0.85,0.9
2025-05-18 03:00:00,2025-05-18 03:00:00,2025-05-18 03:00:00,0.36554,0.34528,0.8,0.91439,0.85,0.9
