Timestamp,active,ch4_error,co2/ch4_error,c2/ch4-Trlow,co2/ch4_TrHigh,final_control_signal,tot_on_periods,on_seconds_ini,off_seconds_ini
2025-05-13 18:00:00,Header,-0.19936,0.08116,-0.13116,-0.18116,5,0,0,10800
2025-05-13 21:00:00,Header,-0.11724,-0.01469,-0.03531,-0.08531,5,0,0,10800
2025-05-14 00:00:00,Header,-0.08516,-0.01469,-0.03531,-0.08531,5,0,0,10800
2025-05-14 03:00:00,Header,-0.08081,0.04742,-0.09742,-0.14742,5,0,0,10800
2025-05-14 06:00:00,Header,-0.06559,0.04743,-0.09743,-0.14743,10.8036,0,0,10800
2025-05-14 09:00:00,Header,-0.06534,0.11369,-0.16369,-0.21369,11.1325,0,0,10800
2025-05-14 12:00:00,Header,-0.25542,0.11369,-0.16369,-0.21369,5,0,0,10800
2025-05-14 15:00:00,Header,-0.34382,0.1119,-0.1619,-0.2119,5,0,0,10800
2025-05-14 18:00:00,Header,-0.16515,-0.03713,-0.01287,-0.06287,5,0,0,10800
2025-05-14 21:00:00,Header,-0.12305,-0.03713,-0.01287,-0.06287,5,0,0,10800
2025-05-15 00:00:00,Header,-0.07765,-0.0334,-0.0166,-0.0666,5,0,0,10800
2025-05-15 03:00:00,Header,-0.05213,-0.0334,-0.0166,-0.0666,29.1064,1,19,10773
2025-05-15 06:00:00,Header,-0.0478,0.0626,-0.1126,-0.1626,34.9965,1,19,10773
2025-05-15 09:00:00,Header,-0.04067,0.0626,-0.1126,-0.1626,44.6878,1,19,10773
2025-05-15 12:00:00,Header,-0.17737,0.12956,-0.17956,-0.22956,5,0,0,10800
2025-05-15 15:00:00,Header,-0.31653,0.08926,-0.13926,-0.18926,5,0,0,10800
2025-05-15 18:00:00,Header,-0.19691,0.08926,-0.13926,-0.18926,5,0,0,10800
2025-05-15 21:00:00,Follower,-0.13662,-0.12563,0.07563,0.02563,5,0,0,10800
2025-05-16 00:00:00,Follower,-0.08624,-0.12563,0.07563,0.02563,5,0,0,10800
2025-05-16 03:00:00,Header,-0.06043,-0.08505,0.03505,-0.01495,58.9088,1,19,10773
2025-05-16 06:00:00,Header,-0.07366,-0.01917,-0.03083,-0.08083,49.914,1,19,10773
2025-05-16 09:00:00,Header,-0.04397,-0.01917,-0.03083,-0.08083,70.0984,1,19,10773
2025-05-16 12:00:00,Header,-0.21574,0.0109,-0.0609,-0.1109,5,0,0,10800
2025-05-16 15:00:00,Header,-0.37001,0.0109,-0.0609,-0.1109,5,0,0,10800
2025-05-16 18:00:00,Header,-0.18392,-0.06362,0.01362,-0.03638,5,0,0,10800
2025-05-16 21:00:00,Follower,-0.1102,-0.14852,0.09852,0.04852,5,0,0,10800
2025-05-17 00:00:00,Follower,-0.06914,-0.14852,0.09852,0.04852,5,0,0,10800
2025-05-17 03:00:00,Header,-0.04938,-0.07262,0.02262,-0.02738,66.4237,1,19,10773
2025-05-17 06:00:00,Header,-0.03923,-0.07262,0.02262,-0.02738,73.3225,1,19,10773
2025-05-17 09:00:00,Header,-0.0586,0.00583,-0.05583,-0.10583,60.1494,1,19,10773
2025-05-17 12:00:00,Header,-0.25925,0.00583,-0.05583,-0.10583,5,0,0,10800
