Timestamp,error,integral,integral_past,u_p,u_i,u_i_past,control_signal,saturation,selection
2025-05-09 21:00:00,-0.13818,11069.7,0,-0.00063,-7e-05,0,-0.0001,Low,True
2025-05-10 00:00:00,-0.07164,4796.52,0,-0.00033,-4e-05,0,-0.0001,Low,False
2025-05-10 03:00:00,-0.07164,4795.8,4796.52,-0.00033,0.0002,0.00023,-0.0001,Low,False
2025-05-10 06:00:00,0.02995,5119.25,4795.8,0.00014,0.00025,0.00023,0.00014,No,False
2025-05-10 09:00:00,0.02996,5442.77,5119.25,0.00014,0.00026,0.00025,0.00014,No,False
2025-05-10 12:00:00,0.02996,5766.37,5442.77,0.00014,0.00028,0.00026,0.00014,No,False
2025-05-10 15:00:00,0.08765,-2079.92,5766.37,0.0004,0.00033,0.00028,0.0003,High,False
2025-05-10 18:00:00,0.02267,-1835.04,-2079.92,0.0001,-9e-05,-0.0001,0.0001,No,False
2025-05-10 21:00:00,0.02268,-1590.1,-1835.04,0.0001,-8e-05,-9e-05,0.0001,No,False
2025-05-11 00:00:00,-0.08931,6462.23,0,-0.00041,-5e-05,0,-0.0001,Low,False
2025-05-11 03:00:00,-0.00402,6418.82,6462.23,-2e-05,0.00031,0.00031,-2e-05,No,False
2025-05-11 06:00:00,-0.00401,6375.46,6418.82,-2e-05,0.00031,0.00031,-2e-05,No,False
2025-05-11 09:00:00,0.08441,-1774.47,6375.46,0.00039,0.00035,0.00031,0.0003,High,False
2025-05-11 12:00:00,0.08441,-1774.94,-1774.47,0.00039,-4e-05,-9e-05,0.0003,High,False
2025-05-11 15:00:00,0.1182,-4960.5,-1774.94,0.00054,-2e-05,-9e-05,0.0003,High,False
2025-05-11 18:00:00,-0.02408,312.066,-4960.5,-0.00011,-0.00025,-0.00024,-0.0001,Low,False
2025-05-11 21:00:00,-0.02407,311.642,312.066,-0.00011,0,2e-05,-0.0001,Low,False
2025-05-12 00:00:00,-0.0221,125.558,0,-0.0001,-1e-05,0,-0.0001,Low,False
2025-05-12 03:00:00,-0.0221,125.162,125.558,-0.0001,-1e-05,1e-05,-0.0001,Low,False
2025-05-12 06:00:00,0.07264,-664.728,125.162,0.00033,4e-05,1e-05,0.0003,High,False
