Timestamp,error,integral,integral_past,u_p,u_i,u_i_past,control_signal,saturation,selection
2025-05-09 21:00:00,-0.04185,-451.94,0,-6e-05,0,0,-6e-05,No,False
2025-05-10 00:00:00,-0.03424,-369.833,0,-5e-05,0,0,-5e-05,No,True
2025-05-10 03:00:00,-0.03425,-739.692,-369.833,-5e-05,-1e-05,0,-5e-05,No,True
2025-05-10 06:00:00,-0.0599,-1386.57,-739.692,-8e-05,-1e-05,-1e-05,-8e-05,No,True
2025-05-10 09:00:00,-0.04913,-1917.13,-1386.57,-7e-05,-2e-05,-1e-05,-7e-05,No,True
2025-05-10 12:00:00,-0.03189,-2261.56,-1917.13,-4e-05,-2e-05,-2e-05,-4e-05,No,True
2025-05-10 15:00:00,-0.33759,38727.1,-2261.56,-0.00046,-6e-05,-2e-05,-0.0001,Low,True
2025-05-10 18:00:00,-0.15588,12443.6,38727.1,-0.00021,0.00035,0.00036,-0.0001,Low,True
2025-05-10 21:00:00,-0.10438,4994.02,12443.6,-0.00014,0.00011,0.00012,-0.0001,Low,True
2025-05-11 00:00:00,-0.06863,-741.227,0,-9e-05,-1e-05,0,-9e-05,No,True
2025-05-11 03:00:00,-0.06442,-1436.97,-741.227,-9e-05,-1e-05,-1e-05,-9e-05,No,True
2025-05-11 06:00:00,-0.05384,-2018.48,-1436.97,-7e-05,-2e-05,-1e-05,-7e-05,No,True
2025-05-11 09:00:00,-0.06887,-2762.33,-2018.48,-9e-05,-3e-05,-2e-05,-9e-05,No,True
2025-05-11 12:00:00,-0.21314,20726.3,-2762.33,-0.00029,-5e-05,-3e-05,-0.0001,Low,True
2025-05-11 15:00:00,-0.32599,37048.5,20726.3,-0.00044,0.00016,0.00019,-0.0001,Low,True
2025-05-11 18:00:00,-0.13841,9916.86,37048.5,-0.00019,0.00033,0.00035,-0.0001,Low,True
2025-05-11 21:00:00,-0.10806,5526.34,9916.86,-0.00015,8e-05,9e-05,-0.0001,Low,True
2025-05-12 00:00:00,-0.07711,1050.41,0,-0.0001,-1e-05,0,-0.0001,Low,True
2025-05-12 03:00:00,-0.05983,404.275,1050.41,-8e-05,0,1e-05,-8e-05,No,True
2025-05-12 06:00:00,-0.07653,966.12,404.275,-0.0001,-0,0,-0.0001,Low,True
2025-05-12 09:00:00,-0.04676,461.058,966.12,-6e-05,0,1e-05,-6e-05,No,True
2025-05-12 12:00:00,-0.24076,24720.8,461.058,-0.00033,-2e-05,0,-0.0001,Low,True
2025-05-12 15:00:00,-0.40314,48208.1,24720.8,-0.00055,0.00019,0.00023,-0.0001,Low,True
2025-05-12 18:00:00,-0.21491,20981.1,48208.1,-0.00029,0.00043,0.00045,-0.0001,Low,True
2025-05-12 21:00:00,-0.13589,9551.21,20981.1,-0.00018,0.00018,0.0002,-0.0001,Low,True
2025-05-13 00:00:00,-0.0941,3506.89,0,-0.00013,-1e-05,0,-0.0001,Low,True
2025-05-13 03:00:00,-0.07086,145.364,3506.89,-0.0001,3e-05,3e-05,-0.0001,Low,True
2025-05-13 06:00:00,-0.06873,-596.891,145.364,-9e-05,-1e-05,0,-9e-05,No,True
2025-05-13 09:00:00,-0.04757,-1110.65,-596.891,-6e-05,-1e-05,-1e-05,-6e-05,No,True
2025-05-13 12:00:00,-0.08976,2879.17,-1110.65,-0.00012,-2e-05,-1e-05,-0.0001,Low,True
2025-05-13 15:00:00,-0.35102,40668.5,2879.17,-0.00048,-1e-05,3e-05,-0.0001,Low,True
2025-05-13 18:00:00,-0.19936,18733.1,40668.5,-0.00027,0.00036,0.00038,-0.0001,Low,True
2025-05-13 21:00:00,-0.11724,6854.47,18733.1,-0.00016,0.00016,0.00018,-0.0001,Low,True
2025-05-14 00:00:00,-0.08516,2214.1,0,-0.00012,-1e-05,0,-0.0001,Low,True
2025-05-14 03:00:00,-0.08081,1584.61,2214.1,-0.00011,1e-05,2e-05,-0.0001,Low,True
2025-05-14 06:00:00,-0.06559,876.286,1584.61,-9e-05,1e-05,1e-05,-9e-05,No,True
2025-05-14 09:00:00,-0.06534,170.573,876.286,-9e-05,0,1e-05,-9e-05,No,True
2025-05-14 12:00:00,-0.25542,26841.1,170.573,-0.00035,-2e-05,0,-0.0001,Low,True
2025-05-14 15:00:00,-0.34382,39627.4,26841.1,-0.00047,0.00022,0.00025,-0.0001,Low,True
2025-05-14 18:00:00,-0.16515,13784.3,39627.4,-0.00022,0.00036,0.00037,-0.0001,Low,True
2025-05-14 21:00:00,-0.12305,7694.38,13784.3,-0.00017,0.00012,0.00013,-0.0001,Low,True
2025-05-15 00:00:00,-0.07765,1127.28,0,-0.00011,-1e-05,0,-0.0001,Low,True
2025-05-15 03:00:00,-0.05213,564.302,1127.28,-7e-05,1e-05,1e-05,-7e-05,No,True
2025-05-15 06:00:00,-0.0478,48.0979,564.302,-7e-05,0,1e-05,-7e-05,No,True
2025-05-15 09:00:00,-0.04067,-391.146,48.0979,-6e-05,-0,0,-6e-05,No,True
2025-05-15 12:00:00,-0.17737,15551.9,-391.146,-0.00024,-2e-05,-0,-0.0001,Low,True
2025-05-15 15:00:00,-0.31653,35679.9,15551.9,-0.00043,0.00011,0.00015,-0.0001,Low,True
2025-05-15 18:00:00,-0.19691,18378.4,35679.9,-0.00027,0.00032,0.00034,-0.0001,Low,True
2025-05-15 21:00:00,-0.13662,16902.9,18378.4,-9e-05,8e-05,9e-05,-9e-05,No,False
2025-05-16 00:00:00,-0.08624,-931.432,0,-6e-05,0,0,-6e-05,No,False
2025-05-16 03:00:00,-0.06043,-1584.06,-931.432,-4e-05,-1e-05,0,-4e-05,No,True
2025-05-16 06:00:00,-0.07366,-2379.54,-1584.06,-5e-05,-1e-05,-1e-05,-5e-05,No,True
2025-05-16 09:00:00,-0.04397,-2854.45,-2379.54,-3e-05,-1e-05,-1e-05,-3e-05,No,True
2025-05-16 12:00:00,-0.21574,10998.6,-2854.45,-0.00015,-2e-05,-1e-05,-0.0001,Low,True
2025-05-16 15:00:00,-0.37001,33312.6,10998.6,-0.00025,3e-05,5e-05,-0.0001,Low,True
2025-05-16 18:00:00,-0.18392,6394.88,33312.6,-0.00013,0.00015,0.00016,-0.0001,Low,True
