active,ch4_error,co2/ch4_error,c2/ch4-Trlow,co2/ch4_TrHigh,final_control_signal,on_minutes_tot,on_seconds_ini,off_seconds_ini,Timestamp_control
Header,0.0258938058593005,-0.0506954410303031,0.000695441030303,-0.0493045589696969,6.23558653272447e-05,2,60,4440.0,2024-02-02 00:06:07.236005
Header,-0.0127461941590822,-0.0506954410303031,0.000695441030303,-0.0493045589696969,8.726862549919989e-06,1,60,8940.0,2024-02-02 02:36:07.278778
Header,0.0255113058140385,-0.0473625309236498,-0.0026374690763502,-0.0526374690763502,6.291586884590374e-05,2,60,4440.0,2024-02-02 05:06:07.317551
Header,0.013038805796664,-0.0473625309236498,-0.0026374690763502,-0.0526374690763502,4.705663282597433e-05,1,60,8940.0,2024-02-02 07:36:07.269319
Header,0.0445638057712947,-0.0154234405830258,-0.0345765594169742,-0.0845765594169742,9.370169127050086e-05,2,60,4440.0,2024-02-02 10:06:07.238088
Header,-0.2937561942451324,-0.0154234405830258,-0.0345765594169742,-0.0845765594169742,-9.5e-05,0,0,9000.0,2024-02-02 12:36:07.599879
Header,-0.0850861942691474,-0.0154234405830258,-0.0345765594169742,-0.0845765594169742,0.0001815910740177,3,60,2940.0,2024-02-02 15:06:07.271631
Header,-0.1053111942846808,-0.0480995009343629,-0.001900499065637,-0.051900499065637,0.0001451734771239,3,60,2940.0,2024-02-02 17:36:13.402752
Follower,-0.1388886943073734,-0.1306196834545454,0.0806196834545454,0.0306196834545453,8.814209406343503e-05,2,60,4440.0,2024-02-02 20:06:07.231170
Follower,-0.15487619432207178,-0.17485585964948447,0.12485585964948442,0.07485585964948438,-9.5e-05,0,0,9000.0,2024-02-02 22:36:07.292944
