active,ch4_error,co2/ch4_error,c2/ch4-Trlow,co2/ch4_TrHigh,final_control_signal,on_minutes_tot,on_seconds_ini,off_seconds_ini,Timestamp_control
Header,-0.0972543479665098,-0.0282198653135923,-0.0217801346864077,-0.0717801346864077,-9.5e-05,0,0,9000,2024-02-10 00:36:07.320762
Header,-0.0339772539283395,-0.0939430812836347,0.0439430812836346,-0.0060569187163653,-4.6209065342541725e-05,1,60,8940,2024-02-10 03:06:07.401537
Follower,0.0052246835796086,-0.1790484039093638,0.1290484039093637,0.0790484039093637,-8.189673994814302e-05,0,0,9000,2024-02-10 05:36:07.334304
Follower,0.0358582243282224,-0.1785413533816848,0.1285413533816848,0.0785413533816847,-8.166481503678266e-05,0,0,9000,2024-02-10 08:06:07.348075
Follower,0.0507425748956701,-0.1971565067331675,0.1471565067331675,0.0971565067331674,-9.017938617975083e-05,0,0,9000,2024-02-10 10:36:09.513970
Follower,0.0537744223515764,-0.1384284479289106,0.0884284479289105,0.0384284479289105,-6.331717208268372e-05,0,0,9000,2024-02-10 13:06:07.427621
Follower,0.05984077649052,-0.1381078425288715,0.0881078425288715,0.0381078425288714,-6.317052717270585e-05,0,0,9000,2024-02-10 15:36:09.520511
Header,0.0584028385247724,-0.0491896363199833,-0.0008103636800167,-0.0508103636800167,7.942786039369048e-05,2,60,4440,2024-02-10 18:06:13.457507
Header,0.0603758160565235,-0.0488805582255901,-0.0011194417744099,-0.0511194417744099,8.2111109836872e-05,2,60,4440,2024-02-10 20:36:07.444934
Header,0.0562125452532895,0.02232748188193945,-0.07232748188193949,-0.12232748188193954,7.644906154447373e-05,2,60,4440,2024-02-10 23:06:07.632715
